call_id,hcp_id,rep_id,call_date,call_note_raw,call_summary_target
CALL_000000,HCP_00476,REP_048,2024-01-06,HCP raised patient support program and mentioned needs more data. Discussed study results and aligned on send clinical reprint. HCP interest level: low.,HCP raised patient support program and mentioned needs more data.
CALL_000001,HCP_01280,REP_079,2024-06-27,HCP raised new indication and mentioned no suitable patients yet. Discussed study results and aligned on provide starter kits. HCP interest level: medium.,HCP raised new indication and mentioned no suitable patients yet.
CALL_000002,HCP_00124,REP_022,2024-03-04,HCP raised new indication and mentioned prefers competitor. Discussed study results and aligned on share copay info. HCP interest level: medium.,HCP raised new indication and mentioned prefers competitor.
CALL_000003,HCP_02237,REP_045,2024-03-01,HCP raised access / prior auth and mentioned prefers competitor. Discussed study results and aligned on schedule follow-up visit. HCP interest level: low.,HCP raised access / prior auth and mentioned prefers competitor.
CALL_000004,HCP_00220,REP_041,2024-02-03,HCP raised safety concern and mentioned no suitable patients yet. Discussed study results and aligned on wait for formulary decision. HCP interest level: high.,HCP raised safety concern and mentioned no suitable patients yet.
CALL_000005,HCP_02729,REP_078,2024-01-19,HCP raised patient support program and mentioned formulary restrictions. Discussed study results and aligned on send clinical reprint. HCP interest level: low.,HCP raised patient support program and mentioned formulary restrictions.
CALL_000006,HCP_01923,REP_072,2024-01-02,HCP raised access / prior auth and mentioned formulary restrictions. Discussed study results and aligned on share copay info. HCP interest level: high.,HCP raised access / prior auth and mentioned formulary restrictions.
CALL_000007,HCP_02786,REP_068,2024-04-10,HCP raised patient support program and mentioned no suitable patients yet. Discussed study results and aligned on provide starter kits. HCP interest level: low.,HCP raised patient support program and mentioned no suitable patients yet.
CALL_000008,HCP_00205,REP_036,2024-01-18,HCP raised efficacy improvement and mentioned cost too high. Discussed study results and aligned on connect with MSL. HCP interest level: low.,HCP raised efficacy improvement and mentioned cost too high.
CALL_000009,HCP_03659,REP_013,2024-03-19,HCP raised efficacy improvement and mentioned cost too high. Discussed study results and aligned on schedule follow-up visit. HCP interest level: low.,HCP raised efficacy improvement and mentioned cost too high.
CALL_000010,HCP_00456,REP_066,2024-01-16,HCP raised patient support program and mentioned no suitable patients yet. Discussed study results and aligned on schedule follow-up visit. HCP interest level: high.,HCP raised patient support program and mentioned no suitable patients yet.
CALL_000011,HCP_01801,REP_024,2024-07-12,HCP raised new indication and mentioned no suitable patients yet. Discussed study results and aligned on connect with MSL. HCP interest level: medium.,HCP raised new indication and mentioned no suitable patients yet.
CALL_000012,HCP_03729,REP_017,2024-03-03,HCP raised access / prior auth and mentioned formulary restrictions. Discussed study results and aligned on provide starter kits. HCP interest level: medium.,HCP raised access / prior auth and mentioned formulary restrictions.
CALL_000013,HCP_02568,REP_048,2024-01-06,HCP raised new indication and mentioned needs more data. Discussed study results and aligned on provide starter kits. HCP interest level: high.,HCP raised new indication and mentioned needs more data.
CALL_000014,HCP_04494,REP_005,2024-01-10,HCP raised patient support program and mentioned cost too high. Discussed study results and aligned on send clinical reprint. HCP interest level: medium.,HCP raised patient support program and mentioned cost too high.
CALL_000015,HCP_02329,REP_025,2024-01-04,HCP raised efficacy improvement and mentioned workflow complexity. Discussed study results and aligned on wait for formulary decision. HCP interest level: medium.,HCP raised efficacy improvement and mentioned workflow complexity.
CALL_000016,HCP_03388,REP_071,2024-01-06,HCP raised efficacy improvement and mentioned no suitable patients yet. Discussed study results and aligned on share copay info. HCP interest level: low.,HCP raised efficacy improvement and mentioned no suitable patients yet.
CALL_000017,HCP_01025,REP_057,2024-04-24,HCP raised patient support program and mentioned workflow complexity. Discussed study results and aligned on provide starter kits. HCP interest level: low.,HCP raised patient support program and mentioned workflow complexity.
CALL_000018,HCP_03729,REP_050,2024-03-14,HCP raised new indication and mentioned needs more data. Discussed study results and aligned on connect with MSL. HCP interest level: high.,HCP raised new indication and mentioned needs more data.
CALL_000019,HCP_04286,REP_027,2024-01-26,HCP raised access / prior auth and mentioned needs more data. Discussed study results and aligned on send clinical reprint. HCP interest level: medium.,HCP raised access / prior auth and mentioned needs more data.
CALL_000020,HCP_04780,REP_026,2024-01-17,HCP raised patient support program and mentioned cost too high. Discussed study results and aligned on connect with MSL. HCP interest level: high.,HCP raised patient support program and mentioned cost too high.
CALL_000021,HCP_04368,REP_020,2024-01-07,HCP raised efficacy improvement and mentioned no suitable patients yet. Discussed study results and aligned on send clinical reprint. HCP interest level: low.,HCP raised efficacy improvement and mentioned no suitable patients yet.
CALL_000022,HCP_02425,REP_052,2024-01-31,HCP raised side effect management and mentioned cost too high. Discussed study results and aligned on provide starter kits. HCP interest level: low.,HCP raised side effect management and mentioned cost too high.
CALL_000023,HCP_01081,REP_063,2024-01-18,HCP raised side effect management and mentioned prefers competitor. Discussed study results and aligned on share copay info. HCP interest level: medium.,HCP raised side effect management and mentioned prefers competitor.
CALL_000024,HCP_01096,REP_051,2024-01-14,HCP raised access / prior auth and mentioned formulary restrictions. Discussed study results and aligned on schedule follow-up visit. HCP interest level: medium.,HCP raised access / prior auth and mentioned formulary restrictions.
CALL_000025,HCP_03299,REP_004,2024-01-04,HCP raised access / prior auth and mentioned needs more data. Discussed study results and aligned on send clinical reprint. HCP interest level: low.,HCP raised access / prior auth and mentioned needs more data.
CALL_000026,HCP_04844,REP_030,2024-02-28,HCP raised patient support program and mentioned formulary restrictions. Discussed study results and aligned on provide starter kits. HCP interest level: medium.,HCP raised patient support program and mentioned formulary restrictions.
CALL_000027,HCP_00971,REP_044,2024-01-24,HCP raised side effect management and mentioned workflow complexity. Discussed study results and aligned on share copay info. HCP interest level: low.,HCP raised side effect management and mentioned workflow complexity.
CALL_000028,HCP_00731,REP_047,2024-01-08,HCP raised patient support program and mentioned no suitable patients yet. Discussed study results and aligned on connect with MSL. HCP interest level: low.,HCP raised patient support program and mentioned no suitable patients yet.
CALL_000029,HCP_02002,REP_029,2024-01-22,HCP raised side effect management and mentioned needs more data. Discussed study results and aligned on share copay info. HCP interest level: low.,HCP raised side effect management and mentioned needs more data.
CALL_000030,HCP_04521,REP_045,2024-01-29,HCP raised access / prior auth and mentioned needs more data. Discussed study results and aligned on send clinical reprint. HCP interest level: low.,HCP raised access / prior auth and mentioned needs more data.
CALL_000031,HCP_00844,REP_046,2024-01-06,HCP raised new indication and mentioned cost too high. Discussed study results and aligned on send clinical reprint. HCP interest level: high.,HCP raised new indication and mentioned cost too high.
