call_id,hcp_id,rep_id,call_date,call_note_raw,call_summary_target,agent_summary,agent_sentiment,agent_topics,agent_next_action,agent_compliance_flag,agent_competitor_flag
CALL_000000,HCP_00476,REP_048,2024-01-06,HCP raised patient support program and mentioned needs more data. Discussed study results and aligned on send clinical reprint. HCP interest level: low.,HCP raised patient support program and mentioned needs more data.,"HCP discussed patient support program and study results, showing low interest.",Low,"Patient Support Program, Efficacy",Send clinical reprint,False,False
CALL_000001,HCP_01280,REP_079,2024-06-27,HCP raised new indication and mentioned no suitable patients yet. Discussed study results and aligned on provide starter kits. HCP interest level: medium.,HCP raised new indication and mentioned no suitable patients yet.,"HCP discussed new indication and study results, aligned on providing starter kits.",Medium,"New Indication, Efficacy",Provide starter kits,False,False
CALL_000002,HCP_00124,REP_022,2024-03-04,HCP raised new indication and mentioned prefers competitor. Discussed study results and aligned on share copay info. HCP interest level: medium.,HCP raised new indication and mentioned prefers competitor.,"HCP discussed new indication, prefers competitor, and is interested in copay info.",Medium,"New Indication, Efficacy",Share copay info,False,True
CALL_000003,HCP_02237,REP_045,2024-03-01,HCP raised access / prior auth and mentioned prefers competitor. Discussed study results and aligned on schedule follow-up visit. HCP interest level: low.,HCP raised access / prior auth and mentioned prefers competitor.,"HCP discussed access/prior auth, mentioned competitor, and showed low interest in product.",Low,"Access / Prior Auth, Efficacy",Schedule follow-up visit,False,True
CALL_000004,HCP_00220,REP_041,2024-02-03,HCP raised safety concern and mentioned no suitable patients yet. Discussed study results and aligned on wait for formulary decision. HCP interest level: high.,HCP raised safety concern and mentioned no suitable patients yet.,"HCP discussed safety concerns and study results, awaiting formulary decision.",High,Safety,Wait for formulary decision,False,False
CALL_000005,HCP_02729,REP_078,2024-01-19,HCP raised patient support program and mentioned formulary restrictions. Discussed study results and aligned on send clinical reprint. HCP interest level: low.,HCP raised patient support program and mentioned formulary restrictions.,"HCP discussed patient support program, formulary restrictions, and study results with low interest level.",Low,"Patient Support Program, Access / Prior Auth, Efficacy",Send clinical reprint,False,False
CALL_000006,HCP_01923,REP_072,2024-01-02,HCP raised access / prior auth and mentioned formulary restrictions. Discussed study results and aligned on share copay info. HCP interest level: high.,HCP raised access / prior auth and mentioned formulary restrictions.,"HCP discussed access and prior auth issues, and showed high interest in the product.",High,"Access / Prior Auth, Efficacy",Share copay info,False,False
CALL_000007,HCP_02786,REP_068,2024-04-10,HCP raised patient support program and mentioned no suitable patients yet. Discussed study results and aligned on provide starter kits. HCP interest level: low.,HCP raised patient support program and mentioned no suitable patients yet.,HCP discussed patient support program and study results with low interest level.,Low,"Patient Support Program, Efficacy",Provide starter kits,False,False
CALL_000008,HCP_00205,REP_036,2024-01-18,HCP raised efficacy improvement and mentioned cost too high. Discussed study results and aligned on connect with MSL. HCP interest level: low.,HCP raised efficacy improvement and mentioned cost too high.,"HCP discussed efficacy improvement and cost concerns, showing low interest.",Low,"Efficacy, Other",Connect with MSL,False,False
CALL_000009,HCP_03659,REP_013,2024-03-19,HCP raised efficacy improvement and mentioned cost too high. Discussed study results and aligned on schedule follow-up visit. HCP interest level: low.,HCP raised efficacy improvement and mentioned cost too high.,"HCP discussed efficacy improvement and cost concerns, with low interest level.",Low,"Efficacy, Other",Schedule follow-up visit,False,False
CALL_000010,HCP_00456,REP_066,2024-01-16,HCP raised patient support program and mentioned no suitable patients yet. Discussed study results and aligned on schedule follow-up visit. HCP interest level: high.,HCP raised patient support program and mentioned no suitable patients yet.,HCP discussed patient support program and study results with high interest level,High,"Patient Support Program, Efficacy",Schedule follow-up visit,False,False
CALL_000011,HCP_01801,REP_024,2024-07-12,HCP raised new indication and mentioned no suitable patients yet. Discussed study results and aligned on connect with MSL. HCP interest level: medium.,HCP raised new indication and mentioned no suitable patients yet.,"HCP discussed new indication and study results, showing medium interest.",Medium,"New Indication, Efficacy",Connect with MSL,False,False
CALL_000012,HCP_03729,REP_017,2024-03-03,HCP raised access / prior auth and mentioned formulary restrictions. Discussed study results and aligned on provide starter kits. HCP interest level: medium.,HCP raised access / prior auth and mentioned formulary restrictions.,"HCP discussed access and prior auth issues, and aligned on providing starter kits.",Medium,"Access / Prior Auth, Efficacy",Provide starter kits,False,False
CALL_000013,HCP_02568,REP_048,2024-01-06,HCP raised new indication and mentioned needs more data. Discussed study results and aligned on provide starter kits. HCP interest level: high.,HCP raised new indication and mentioned needs more data.,"HCP discussed new indication and study results, showing high interest in the product.",High,"New Indication, Efficacy",Provide starter kits,False,False
CALL_000014,HCP_04494,REP_005,2024-01-10,HCP raised patient support program and mentioned cost too high. Discussed study results and aligned on send clinical reprint. HCP interest level: medium.,HCP raised patient support program and mentioned cost too high.,"HCP discussed patient support program, study results, and expressed medium interest in the product.",Medium,"Patient Support Program, Efficacy",Send clinical reprint,False,False
CALL_000015,HCP_02329,REP_025,2024-01-04,HCP raised efficacy improvement and mentioned workflow complexity. Discussed study results and aligned on wait for formulary decision. HCP interest level: medium.,HCP raised efficacy improvement and mentioned workflow complexity.,"HCP discussed efficacy improvement and workflow complexity, awaiting formulary decision.",Medium,"Efficacy, Access / Prior Auth",Wait for formulary decision,False,False
CALL_000016,HCP_03388,REP_071,2024-01-06,HCP raised efficacy improvement and mentioned no suitable patients yet. Discussed study results and aligned on share copay info. HCP interest level: low.,HCP raised efficacy improvement and mentioned no suitable patients yet.,"HCP discussed efficacy improvement and study results, showing low interest in the product.",Low,Efficacy,Share copay info,False,False
CALL_000017,HCP_01025,REP_057,2024-04-24,HCP raised patient support program and mentioned workflow complexity. Discussed study results and aligned on provide starter kits. HCP interest level: low.,HCP raised patient support program and mentioned workflow complexity.,HCP discussed patient support program and study results with low interest level.,Low,"Patient Support Program, Efficacy",Provide starter kits,False,False
CALL_000018,HCP_03729,REP_050,2024-03-14,HCP raised new indication and mentioned needs more data. Discussed study results and aligned on connect with MSL. HCP interest level: high.,HCP raised new indication and mentioned needs more data.,HCP discussed new indication and expressed high interest in the product.,High,"New Indication, Efficacy",Connect with MSL,False,False
CALL_000019,HCP_04286,REP_027,2024-01-26,HCP raised access / prior auth and mentioned needs more data. Discussed study results and aligned on send clinical reprint. HCP interest level: medium.,HCP raised access / prior auth and mentioned needs more data.,"HCP discussed access/prior auth and study results, showing medium interest in the product.",Medium,"Access / Prior Auth, Efficacy",Send clinical reprint,False,False
CALL_000020,HCP_04780,REP_026,2024-01-17,HCP raised patient support program and mentioned cost too high. Discussed study results and aligned on connect with MSL. HCP interest level: high.,HCP raised patient support program and mentioned cost too high.,"HCP discussed patient support program and study results, showing high interest in the product.",High,"Patient Support Program, Efficacy",Connect with MSL,False,False
CALL_000021,HCP_04368,REP_020,2024-01-07,HCP raised efficacy improvement and mentioned no suitable patients yet. Discussed study results and aligned on send clinical reprint. HCP interest level: low.,HCP raised efficacy improvement and mentioned no suitable patients yet.,HCP discussed efficacy improvement and study results with low interest level,Low,Efficacy,Send clinical reprint,False,False
CALL_000022,HCP_02425,REP_052,2024-01-31,HCP raised side effect management and mentioned cost too high. Discussed study results and aligned on provide starter kits. HCP interest level: low.,HCP raised side effect management and mentioned cost too high.,"HCP discussed side effect management, cost, and study results, with low interest in the product.",Low,"Safety, Access / Prior Auth",Provide starter kits,True,False
